id,x,y
kp_0,-18.83322,-10.479251
kp_3,-2.095457,2.2662978
kp_62,-15.126931,-29.724413
kp_2,-9.250913,3.1039681
kp_67,2.7467165,-21.160501
kp_20,2.7768543,-21.27049
kp_59,-25.877094,47.58403
kp_25,2.8821592,-21.20219
kp_61,-4.148837,-5.1843023
kp_76,-8.205754,42.084003
kp_4,-20.71685,3.9000301
kp_69,2.9190254,-21.352232
kp_66,-12.090387,-27.184072
pro_921515657865838592,58.78496,-0.6581324
pro_6134,2.5761158,-69.525734
pro_965059436640460800,-57.99351,31.774014
kp_34,-24.939228,-24.151443
pro_1447461535369793536,-4.57206,-50.637257
kp_136,-5.070026,-24.194948
kp_21,3.1160662,-20.6272
kp_204,-52.659863,12.065315
kp_60,-22.374811,28.693232
kp_68,2.9504056,-22.204435
pro_1107897397390303232,-55.761925,-21.782381
kp_106,32.250988,-8.109103
pro_1370725388216954880,-14.346557,-64.06878
pro_1141529866927824896,25.669025,-53.075394
pro_1591240426177294336,51.16347,43.181988
kp_82,-30.986456,33.96472
pro_929449798251425792,17.936749,-47.970528
kp_190,-10.650047,23.921171
pro_1176715751705776128,-29.671846,-54.29203
pro_7280,8.294481,-60.855637
kp_33,-41.390324,-31.482561
pro_1184411792204259328,23.994308,-39.055195
pro_6316,22.251783,-1.0933522
pro_1210105985333936128,31.72777,-37.002434
pro_6131,5.636017,-55.220406
pro_1386587826843254784,36.603775,-18.999702
pro_1449621127265312768,25.011446,-57.337597
pro_1174669724697989120,54.45167,-15.92723
pro_6933,14.243274,-64.55456
pro_5012,19.601515,-52.61074
kp_100,-3.883111,-29.268019
pro_1427202625724657664,39.261936,-46.966927
kp_248,-19.29375,-15.866759
pro_1060172024517271552,-40.602154,26.71542
pro_1633780442971332608,25.331995,-25.205519
kp_276,-56.365723,10.170047
kp_70,-45.963024,4.2256927
pro_1567434348205117440,14.082907,-55.440266
pro_1631779753378275328,50.100185,-35.158802
pro_1053675230009794560,20.948338,-32.448475
kp_103,14.249099,-30.132307
kp_78,-25.576725,-21.2965
kp_7,-2.6100023,7.45239
pro_1568811127943655424,53.33537,-32.94755
pro_1437400427178405888,15.211335,-49.437557
pro_989404559010701312,11.977462,-35.56408
kp_102,14.33862,-30.355185
kp_54,-32.971416,-0.230641
pro_1402403474704715776,6.686471,-45.125717
kp_105,14.298268,-30.351597
pro_1188169243201392640,13.789706,-2.2094731
pro_1578965320664313856,-40.809223,-43.23715
kp_1,-28.40071,-5.823359
kp_140,12.8229885,-29.71136
kp_575,49.785778,56.834248
kp_249,-65.99517,-4.8568916
pro_1386515666686672896,-35.61329,14.669668
pro_6367,-18.917141,-44.881134
kp_73,-15.928577,10.739119
pro_1052485483518283776,14.61594,-24.262865
pro_1498265820655960064,21.597467,-32.03645
pro_1452020420220448768,48.78557,-18.811754
pro_1216632093608976384,-0.07374785,-47.21834
pro_1556208621649104896,21.689013,-20.127068
pro_1558339960175378432,-43.62485,-16.626535
pro_1210369932578471936,23.253403,-24.26714
pro_7345,33.146637,-31.452183
kp_189,-1.1543492,-11.916751
